input,output,instruction
आईस पड़ने से आचा तो मैं nfs most wanted खेल लेटा .. 3rd blacklist को हरना जो है .. ड,neutral,Classify the given article as either positive or negative or mix sentiment.
तुम लोग और नखरे दिखाओं ! ! सब log convert हो जायेंगे ! :,positive,Classify the given article as either positive or negative or mix sentiment.
बड़ा मेहनती बालक है : प : d,positive,Classify the given article as either positive or negative or mix sentiment.
throw तो माई ही खोलुंगा baba . . . . touch कृते ही sixer,neutral,Classify the given article as either positive or negative or mix sentiment.
ओक मैं आप की इंत्जार करुगी बास आप साचे सलमान खान है तोह इतना जरूर बताना आप कैसा है .....:) आपको देखने को दिल चाहता है ???,neutral,Classify the given article as either positive or negative or mix sentiment.
the easiest thing to be in the world is you . the most difficult thing to be is what other people want you to be . don't let them put यू in that position . ? . ?,positive,Classify the given article as either positive or negative or mix sentiment.
भगवान आगर आज मुझे पैसे पा गए तो उस्की taken3 खेलुंगा . . नही नही . . . मुस्तफा . . . नही nahi पहले मारियो फिर बाकी दुसरी fight वाली games .,neutral,Classify the given article as either positive or negative or mix sentiment.
rt @ imkrn45 : ye क्या हुआ कैसे हुआ कब हुआ ~ bjp # aapsweep # aapstorm # आप्किदिल्ली,neutral,Classify the given article as either positive or negative or mix sentiment.
ऑर नी तो क्या,neutral,Classify the given article as either positive or negative or mix sentiment.
"yes # unionbudget2015 welfare funding reduced frm central govt , instead states given more शेयर frm taxes , nw states can do more in welfare",positive,Classify the given article as either positive or negative or mix sentiment.
ये मुसलमान जब हिंदू से दोस्ती करणी होती है या मेल्जोल कर्ना होता है to shirt-pant और बीना टोपी के आते हैं .... और जब हिंदू से तनाव होता है to कुर्ता पज़ामा और टोपी लगाकर आते हैं आपने भी देखा होगा ... आइसा क्यो ???,negative,Classify the given article as either positive or negative or mix sentiment.
Rahul Gandhi Campaning In Gujrat Elections is Like Rajpal Yadav Trying To Win Over Angelina Jolie From Brad Pitt ....,neutral,Classify the given article as either positive or negative or mix sentiment.
it is similar to . . कुछ ठंडा या गरम खाने से आगर आपके दातों में तेज झंझनाहट होती है तोह उस्से hum ' sensitivity ' कहते हैं : प,neutral,Classify the given article as either positive or negative or mix sentiment.
"delhi हो याह बिल्ली , केवल शेर की होती है , और शेर हुमारा कोन है # delhidecides # दिल्ली",neutral,Classify the given article as either positive or negative or mix sentiment.
यो yo broda,neutral,Classify the given article as either positive or negative or mix sentiment.
"कैसा print है बे , m",neutral,Classify the given article as either positive or negative or mix sentiment.
"भाई जब hindi language का ही use कृते हो तो लिखने क लिये english क्यू use कृते हो उसमे भी hindi use किआ क्रो ना , just suggesting",neutral,Classify the given article as either positive or negative or mix sentiment.
tomorrow is going to be an easy day . just show my bib cards for eng which will be like 25 mins since i'm last then get my test back in math,positive,Classify the given article as either positive or negative or mix sentiment.
दुनिया की कोई तकात हाटा नई शक्ति . . india से pakistan world cup में जीत नई sakti . . hahahah,positive,Classify the given article as either positive or negative or mix sentiment.
इरर कोई ब्टाएगा की rechecking का result कैसे देखु . .,neutral,Classify the given article as either positive or negative or mix sentiment.
आरेय dun worry dude ... बैंकॉक मे inney मेज़ कर राहा होगा .. उसे कुज फार्क नी परेगा .......,negative,Classify the given article as either positive or negative or mix sentiment.
"इट्स इट ,, not a रशन की दुकान जो गली गली मे हो ... # unionbudget2015",neutral,Classify the given article as either positive or negative or mix sentiment.
फिल्म का स्टोरी mast ही और आप भी मस्त हो ............,positive,Classify the given article as either positive or negative or mix sentiment.
आरे वो नायी बाइक ले राहा है .. सुबह ही पाटा चाला .. तो मैंने कहा क मैं भी चालता हू ..,negative,Classify the given article as either positive or negative or mix sentiment.
नई रोना,neutral,Classify the given article as either positive or negative or mix sentiment.
"centre suffering from ' policy paralysis ' , alleges जयललिता : जयललिता ऑन tuesday charged the upa go . . . http  URL # news",positive,Classify the given article as either positive or negative or mix sentiment.
"केसी रैंडी का बाचा ,",negative,Classify the given article as either positive or negative or mix sentiment.
watched muse on the jonathan ross show last night and promptly had nightmares about screwing everything up on wednesday ! ईईक !,neutral,Classify the given article as either positive or negative or mix sentiment.
ये दुआ है मेरी के आप हमेसा खुस रहे,positive,Classify the given article as either positive or negative or mix sentiment.
मुजे कॉल कारो भाई जान,neutral,Classify the given article as either positive or negative or mix sentiment.
गुड्डू morning prayer का बी बनाओ जो हम बाथरूम मैं चुप जट्टे दी,neutral,Classify the given article as either positive or negative or mix sentiment.
माँ को बैंक मैट बनाओ मर जाने के बाद काम आ राई ही,negative,Classify the given article as either positive or negative or mix sentiment.
मेरी आँखो मे ब आनसु आ गए हस्ते हस्ते . . लोल ! ! !,positive,Classify the given article as either positive or negative or mix sentiment.
"community , cougar town , friday night lights , glee , mad men , modern family , six feets under , skins , terra nova o the wire ? ? ?",neutral,Classify the given article as either positive or negative or mix sentiment.
@ सोम्यूज़र aged under 26 and keen to become a foreign correspondent ? apply for the marie colvin scholarship http  URL,neutral,Classify the given article as either positive or negative or mix sentiment.
कोई हिन्दू न्ही कोई मुस्लिम न्ही ह्म सब हुंदुस्तानी है,neutral,Classify the given article as either positive or negative or mix sentiment.
बेटी बचाओ बेटी पाढ़ाओ but government won't allocate any fund for it ! # shame # unionbudget2015,negative,Classify the given article as either positive or negative or mix sentiment.
राफु अपको न्ही बोलना already वो देचिका होता ह,neutral,Classify the given article as either positive or negative or mix sentiment.
बहुत पसंद आया,positive,Classify the given article as either positive or negative or mix sentiment.
Bcoz she is not doing that's y ?,negative,Classify the given article as either positive or negative or mix sentiment.
situation इतनी बुरी हो गयी है की now indian men are tagged as rapists :(,negative,Classify the given article as either positive or negative or mix sentiment.
sallu मिआ भूल गए सब कुछ याद न्ही उन्हे अब कुछ,neutral,Classify the given article as either positive or negative or mix sentiment.
भैयो और भेनो lets search आचे din ..!! # superbudget # unionbudget2015 # servicetax http : t . co  asstv5rtvs,positive,Classify the given article as either positive or negative or mix sentiment.
सोजाओ pooja salman नही आनेवाला है क्यो रत खराब कर्री हो तुम,negative,Classify the given article as either positive or negative or mix sentiment.
तो परबलम क्या ह अग्र तुम लोग पायर कृते ओ तो . . . ? ?,neutral,Classify the given article as either positive or negative or mix sentiment.
@ someUSER oh iight i can dig it but how you going to act tomorrow night tho younging ?,neutral,Classify the given article as either positive or negative or mix sentiment.
वहान police headquarters bhi,negative,Classify the given article as either positive or negative or mix sentiment.
हहाहा . . . एवेसोन . . . ये ह गुड्डू के त . व . देखने के नतीजे,positive,Classify the given article as either positive or negative or mix sentiment.
shout out to all the girls who will be taking the walk of shame into cvs tomorrow to by a plan b # dressinglikeaslutcomeswithaprice,neutral,Classify the given article as either positive or negative or mix sentiment.
"One question people who know you are admin of DUC always ask -  "" और भाई Page से कोई लड़की वाडकी पति की नही ?  "" . . # OldMonk",negative,Classify the given article as either positive or negative or mix sentiment.
मम्मी के साठ सोने वाला गुड्डू इतना grown up कब हुआ बे ओ . ओ ओ . ओ,neutral,Classify the given article as either positive or negative or mix sentiment.
@ bhola4u हा हा हा सायद बटे काम पैड जाति होगी इसलिये विशेष धर्म के log 3-4 wife राख लेटे ह # unionbudget2015,neutral,Classify the given article as either positive or negative or mix sentiment.
भाई तुम्हारे बारे मे ज्यादा नही सोचते तुम दिल मे आते हो 4pm fb नही ...,neutral,Classify the given article as either positive or negative or mix sentiment.
"विद्या गुप्ता पागल हो गई ह के ,.,,.,.",neutral,Classify the given article as either positive or negative or mix sentiment.
"see the level of people doing फड , ई don't नोव what shit they will teach to students ? ? ?",negative,Classify the given article as either positive or negative or mix sentiment.
# msgyouthicon is trending . seems like 90% of the profiles were born a month ago to create traffic and trend .,positive,Classify the given article as either positive or negative or mix sentiment.
@ someUSER lorenzo beasley . he was killed on july 17th of last year on the corner of 53rd and king dr .,neutral,Classify the given article as either positive or negative or mix sentiment.
hey भगवान . . . ये movies बच्चो का सत्यनाश कर राही हैं . . :- ओ : ओ,negative,Classify the given article as either positive or negative or mix sentiment.
फैला 😁 भाई वो ब spcl offer ह 😅😅 बदबू b bs kallupura वालो क लिये 😉😆😅 👻💀👻,negative,Classify the given article as either positive or negative or mix sentiment.
Salman khan bolliwood की शान बंचुका back to back blockbuster superhit movi name dabbang . रेडी . बॉडीगार्ड . एक था tiger . Dabbang2 . जय हो . किक . बजरंगी बहिजान सुपरहिट जयागी 300 फिक्स,positive,Classify the given article as either positive or negative or mix sentiment.
5 पम बजे क्रेंज direct बट मेरे सात,positive,Classify the given article as either positive or negative or mix sentiment.
चल कर्ले,positive,Classify the given article as either positive or negative or mix sentiment.
हमारे acting क हुनेर तो ऐनवायी नही निकालते दी ना . .,negative,Classify the given article as either positive or negative or mix sentiment.
आखिर ले de क अन्ना जी भी party support करने लेज ह . . . . . . . . . . . . . .,neutral,Classify the given article as either positive or negative or mix sentiment.
Thnk उ अक्की,negative,Classify the given article as either positive or negative or mix sentiment.
पार्स सिर्फ 4ft me ate ह,neutral,Classify the given article as either positive or negative or mix sentiment.
सर आपक accont से तो माजक नही कर राहा,neutral,Classify the given article as either positive or negative or mix sentiment.
thanks to everyone who came out friday night to see us with threat signal at dickens ! awesome night ! ! !,positive,Classify the given article as either positive or negative or mix sentiment.
तोह बेटिकोड भेज ना .. फिर रात में मैच ह .. Tym न्ही मिलेगा,neutral,Classify the given article as either positive or negative or mix sentiment.
आज के महात्मा गांधी P . M . मोदी जी मोदी जी मे स्वामी विवेकानंद की छवि भी दिख्ती है,positive,Classify the given article as either positive or negative or mix sentiment.
guddu ji . . jaldi बड़े हो जाओ . . हम शादी करलेंगे . . आपको बीवी से कुछ ज्यादा ही प्यार हैं . . ;),positive,Classify the given article as either positive or negative or mix sentiment.
bc कुट्टो को kch और कहा आता ह,negative,Classify the given article as either positive or negative or mix sentiment.
"भाईजान ये msg , आपके Muslim brothers हो घुमा रहे hai अपको बदनाम करने के लिये",negative,Classify the given article as either positive or negative or mix sentiment.
contra was added lately in this . . . . फिर समझ आया था की लौन्दो को उल्लू बना रहे हैं . .,negative,Classify the given article as either positive or negative or mix sentiment.
सलमान खान से live बात .... मुझी लग राहा है की खुवाब ही है मेरा इटनय बेरी star ...... ऑर हमसी बात वाह .....,neutral,Classify the given article as either positive or negative or mix sentiment.
आपका हर अंदाज़ ही अनोखा है जनाब,positive,Classify the given article as either positive or negative or mix sentiment.
primavera fixture list - milan primavera begin their campaign on august 25th at cesena and end it on april 27th at s . . . http  URL,neutral,Classify the given article as either positive or negative or mix sentiment.
उस लडकी से treat ले लियो अग्र वो पास हो गई to .... aftrall tne use preparation क लिये सीट ओफर की थी ....... ;-),neutral,Classify the given article as either positive or negative or mix sentiment.
"# aapsweep इतना भी "" गुमान "" ना कर अपनी जीत पर "" ए बेखबर "", शहर में तेरी जीत से ज्यादा , तोह मेरी "" हार "" के "" चर्चे "" हैं !",neutral,Classify the given article as either positive or negative or mix sentiment.
भाईजान मैंने लिया हैं amazon से,neutral,Classify the given article as either positive or negative or mix sentiment.
हा हा हा मैं भी second pic देखने क बाद यही sentence बनाने की सोच राहा था : ड,positive,Classify the given article as either positive or negative or mix sentiment.
guess which star is the 5th most greatest women in the world and won many grammy awards and is a singer ?,neutral,Classify the given article as either positive or negative or mix sentiment.
इतना लाम्बा कोन पढेगा ? ? admin is post को एक बिलान्द छोटा कर दो ! !,neutral,Classify the given article as either positive or negative or mix sentiment.
भूल गए स्ब . . कैसे छोटी वाला scarf लागा क भारी सा बस्ता तांग क निकल पड़ते थे घाने कोहरे me school की जंग लड़ने . . .,neutral,Classify the given article as either positive or negative or mix sentiment.
सालू मिया काल आ रहे ह हम भाईजान से मिलने,neutral,Classify the given article as either positive or negative or mix sentiment.
"बाप बदा ना , भीया , , सबस बदा रुपैया ह अज क लिये . . . . . .",neutral,Classify the given article as either positive or negative or mix sentiment.
superhero कितना बी powerful हो होते पोपट ही दी ... साले चड्डी pants के उपर पहेंटे दी .... - p,negative,Classify the given article as either positive or negative or mix sentiment.
हेहेहेहे माई हमेसा यही क्रता था . . . हट्स off फैसल भाई . . . :),positive,Classify the given article as either positive or negative or mix sentiment.
"भारत नव निर्माण करेंगे मोदी जी , शक्तिशाली रास्त्र बनावेन मोदी जी",positive,Classify the given article as either positive or negative or mix sentiment.
ये अपने पापा की जंजीर पर लत्का हुआ है . . . . . . . .,negative,Classify the given article as either positive or negative or mix sentiment.
itd 4:03,neutral,Classify the given article as either positive or negative or mix sentiment.
आरी इस ताकली की photog भेज,negative,Classify the given article as either positive or negative or mix sentiment.
8 bit game खरीदने क लिये बहुत पापड़ बेलने पड़े दी घर वालो क सामने . . . . . 3:),negative,Classify the given article as either positive or negative or mix sentiment.
"why we are so obsessed with banning everything , are we a largest democracy or an authoritarian country # bananarepublic # beefban",neutral,Classify the given article as either positive or negative or mix sentiment.
ना bas cousins,positive,Classify the given article as either positive or negative or mix sentiment.
"हाहा you are good in debate , deviate and run away .",positive,Classify the given article as either positive or negative or mix sentiment.
medea जहान बीकी हो वहान किसी की नही चलेगी ऑर यहाँ ( इंडिया ) का आलम कुछ आइसा ही ह,negative,Classify the given article as either positive or negative or mix sentiment.
"what if the world could vote on nov 6 ? france leads the obama camp , including britain , पेरू , तुर्की , india among others http  URL",neutral,Classify the given article as either positive or negative or mix sentiment.
हमम हिई ??,negative,Classify the given article as either positive or negative or mix sentiment.
कोई मुजे ब्तायेगा du colleges केक form र cutt off कब आयेगी,neutral,Classify the given article as either positive or negative or mix sentiment.
अबे कितने क्वेस्शन्स करु,neutral,Classify the given article as either positive or negative or mix sentiment.
मेने सिर्फ सुना ह south आचा ना ह north iz best,neutral,Classify the given article as either positive or negative or mix sentiment.
Ai  ml के उपर,neutral,Classify the given article as either positive or negative or mix sentiment.
भाई इंग्लिश की coaching कहा देता ह . . ? ? जिम मे . . :- प,positive,Classify the given article as either positive or negative or mix sentiment.
सिरजी न्ही बैट करेंगे अब,neutral,Classify the given article as either positive or negative or mix sentiment.
☺,neutral,Classify the given article as either positive or negative or mix sentiment.
देखा मैं smart हू,neutral,Classify the given article as either positive or negative or mix sentiment.
@ someUSER - another example of a good college player who had a great week at senior bowl to ease concerns about toughs & amp ; get into 1st round,positive,Classify the given article as either positive or negative or mix sentiment.
in dilemma what to see tomorrow on television # indiavsuae in # cwc15 or # unionbudget2015 # budget2015 :),neutral,Classify the given article as either positive or negative or mix sentiment.
totaly agree with akansha . . . . . just go to her take her ina place whr u can talk her freely . . . . . just knee down and say sorry with ur loving expression just mind one थिंग whn u say sorry so u should express all the love you do to her in ur face okk . . ( y ),positive,Classify the given article as either positive or negative or mix sentiment.
गुड्डू यार ट्यून ले ली,negative,Classify the given article as either positive or negative or mix sentiment.
भाई एप्क्स बाजरंगी भैजन movi song verey nice,positive,Classify the given article as either positive or negative or mix sentiment.
"admin , r from मिरांडा clg ? इर मिरांडा वालों की कनफ्सन भुत जल्दी पोस्ट कृते हो .. -|",neutral,Classify the given article as either positive or negative or mix sentiment.
नौटंकिबाज ब,negative,Classify the given article as either positive or negative or mix sentiment.
पूरने photo लगाने से न्ये वोट न्ही मिलेंगे . . . . ओनली आप,positive,Classify the given article as either positive or negative or mix sentiment.
मोदी जी sorry बिदेसून मैं मैट घूमो अपने नाइटाओ सांस्डों को पकदो बेलगाम होते जा टहे हैं गरीबाउन की सोचो 1 2 रस की पोलिसियों से कुछ नही होगा मोती आसमियुन से पैसा निकलो गेरेबाउन से नही,negative,Classify the given article as either positive or negative or mix sentiment.
भाईईई वो इस लिये की वेह seat केवल महिलयो क लिये आरक्षित था ...... और उस्का हक था बुद्धे न फ्लव किया ..............,neutral,Classify the given article as either positive or negative or mix sentiment.
भाई इस बार ना चक पाया india :(,neutral,Classify the given article as either positive or negative or mix sentiment.
शिटग भूल ज्ञा,negative,Classify the given article as either positive or negative or mix sentiment.
"@ someUSER hold out hope for valentine , he may win manager of the year",positive,Classify the given article as either positive or negative or mix sentiment.
India's superheroSALMAN खान . न ओरजान,positive,Classify the given article as either positive or negative or mix sentiment.
हान कर लिया,positive,Classify the given article as either positive or negative or mix sentiment.
"guideen you towards the path of success . Happy होली !😊😊😊 मे god गिफ्ट उ all the colors of life , Colors of joy , Colors of happiness , Colors of friendship , Colors ऑफ लव and All other colors उ वंत to paint in यूर life . Happy होली .🤗 विशिंग You अंड Your Family A Very Bright , Colourful And",positive,Classify the given article as either positive or negative or mix sentiment.
Or pooja,neutral,Classify the given article as either positive or negative or mix sentiment.
"@ someUSER ice may still issue an nta against her , though unlikely . let me know if melany needs a lawyer in the area for # daca .",neutral,Classify the given article as either positive or negative or mix sentiment.
Pakistan म ये move नह chil sekte chair परर डे हम cinema वालो ko lhr म तू kabhi नह,negative,Classify the given article as either positive or negative or mix sentiment.
दिस is very rit dere always been rumors of affairs b  w teachers . . . . . . . . !,neutral,Classify the given article as either positive or negative or mix sentiment.
आइसा कैसे हो सकता ह .... मैंने जो कन्फेशन किया था वाही पोस्ट कर देते,neutral,Classify the given article as either positive or negative or mix sentiment.
मेरी मॉम भी मुझे ऐसे ही पैक करके भेजती थी अंड अज्ज भी सिलसिला जारी है,neutral,Classify the given article as either positive or negative or mix sentiment.
"& amp ; i think i m d only laziest काम स जी चुराने वाला , meet all d बाप of आलासिस , निकाहटू of india # rahulonleave",negative,Classify the given article as either positive or negative or mix sentiment.
come to mtsu football fan डे tomorrow from 2-4 पम at murphy center ! meet the team for autographs and enjoy hotdogs and drinks !,positive,Classify the given article as either positive or negative or mix sentiment.
wicket !!!! umesh yadav strikes . come ऑन india . # indvsuae # cwc15,neutral,Classify the given article as either positive or negative or mix sentiment.
Salman भाई 1 no,positive,Classify the given article as either positive or negative or mix sentiment.
I hope ये किसी माता सुंदरी वाली ने ना डाला हो .,neutral,Classify the given article as either positive or negative or mix sentiment.
"अप्जा एक वि film miss नेही करता , किसका film क लीआ theatre जाऊ या ना जाऊ .. 2-3 बार min . अपका film thetre में देखने ज़रुर जटा हुन दोस्तो को लेके .",positive,Classify the given article as either positive or negative or mix sentiment.
Nice movie 200 crore आसानी से कामा लेगी,positive,Classify the given article as either positive or negative or mix sentiment.
# msgthefilm inspires to dissuade drug for youth or 4 every jeneration # msgyouthicon,neutral,Classify the given article as either positive or negative or mix sentiment.
Bhai don't worry,neutral,Classify the given article as either positive or negative or mix sentiment.
अभी छाट प्र भागेगा guddu planes देखने,neutral,Classify the given article as either positive or negative or mix sentiment.
सलमान बाई अप केसे हेन मा ब अप का fen हुन,positive,Classify the given article as either positive or negative or mix sentiment.
मुस्लिम का नाम मैट खराब कर्ना सलमान भाई चाहे कुछ भी कारो कोई tention नही,negative,Classify the given article as either positive or negative or mix sentiment.
guddu की mummy भी उसे उद्बीलाओ ही बुलाती है क्या ? ?,neutral,Classify the given article as either positive or negative or mix sentiment.
जीवित राही .. क्या,positive,Classify the given article as either positive or negative or mix sentiment.
अनुष्का विराट का 1 रन देखने क लिये इंडिया se sydney तक चाली आई . . . थीस is what ट्रू लव इस : p,positive,Classify the given article as either positive or negative or mix sentiment.
"happy valentines day & lt ; 3 . . . only if you live in brazil , otherwise its just another irritating monday .",positive,Classify the given article as either positive or negative or mix sentiment.
guddu को oscar मिलना चाहिये ! हा . . . .,neutral,Classify the given article as either positive or negative or mix sentiment.
ये culture heritage wala गाना अभी तक चल राहा है . . . . . .,neutral,Classify the given article as either positive or negative or mix sentiment.
आरी guddu तो बलकुल मुझपर ही ज्ञा है … हहाहा lolzz ! !,neutral,Classify the given article as either positive or negative or mix sentiment.
हा Gud,positive,Classify the given article as either positive or negative or mix sentiment.
जो भी होगा फायदा तोह होगा ... उधार हाट जाएगा,positive,Classify the given article as either positive or negative or mix sentiment.
भाईजान I'm eagerly waiting,neutral,Classify the given article as either positive or negative or mix sentiment.
i agree with this cartoon . बहुत अच्छा दोस्तों .,positive,Classify the given article as either positive or negative or mix sentiment.
हममम,neutral,Classify the given article as either positive or negative or mix sentiment.
guddu के father साहब hollywood movies बोहोट देखते हैं . : p,neutral,Classify the given article as either positive or negative or mix sentiment.
भाई अब तो तू सपोर्ट kar parents ko ...  economically नही तो mentally तो कर सकता ह ...,neutral,Classify the given article as either positive or negative or mix sentiment.
कुछ नही करोगे तुम india के लिये,negative,Classify the given article as either positive or negative or mix sentiment.
चादर ओढ के चुपचाप so जाओ neend आची आएगी .,positive,Classify the given article as either positive or negative or mix sentiment.
हहाहाहा . . . . . गुड्डू oops moment का शिकार हो गया : d : ड,positive,Classify the given article as either positive or negative or mix sentiment.
@ someUSER o ok they got me off today wed & amp ; friday but ima talk to zachary to see if i can work split shifts the rest of the week,neutral,Classify the given article as either positive or negative or mix sentiment.
दिल्ली बोले दिल kejriwal फिर से,positive,Classify the given article as either positive or negative or mix sentiment.
रुख जा,neutral,Classify the given article as either positive or negative or mix sentiment.
speech देने म to फड की degree मिला हुवा है modi ग को .,neutral,Classify the given article as either positive or negative or mix sentiment.
सुकर ह तू ट्यून sory बोल डी last me नी तो तुजे प्टा ए ह - ड,negative,Classify the given article as either positive or negative or mix sentiment.
ऑर क्या हल,neutral,Classify the given article as either positive or negative or mix sentiment.
कल फिर train में wifi लगने की बात होगी .. नायी bullet trains चलेगी . अच्छा खाना मिलने की बात hogi . # railbudget2015,positive,Classify the given article as either positive or negative or mix sentiment.
"the best thing about walking dead returning is it means spartacus will be back soon too ! ( dammit , starz site says january )",positive,Classify the given article as either positive or negative or mix sentiment.
plz आप मेरे frnd बानिये,positive,Classify the given article as either positive or negative or mix sentiment.
love your nation  pray for the people in danger  help them atleast 4 some days . लड़की से प्यार करने को ज़िंदगी पदी है भाई . देश से भी कुछ प्यार कर लो . . .,neutral,Classify the given article as either positive or negative or mix sentiment.
उम देख ले .,neutral,Classify the given article as either positive or negative or mix sentiment.
चल झुटा .... answer एक qustion का ब न्ही दिया,negative,Classify the given article as either positive or negative or mix sentiment.
"तेरे जाते ही out हो ज्ञा . . . """,negative,Classify the given article as either positive or negative or mix sentiment.
"sunday times launches the marie colvin scholarship , seeking future foreign correspondents , under 26 . deadline sept 30: http  URL",neutral,Classify the given article as either positive or negative or mix sentiment.
हा भाई हूव गई party आज की,neutral,Classify the given article as either positive or negative or mix sentiment.
"क्या garbage बिन , आँखें तरस गई दी अपका गाग पाधने क लिये . जल्दी जल्दी आया कारो ना",positive,Classify the given article as either positive or negative or mix sentiment.
बास दर्शन क लिये निकल रहे हैं,neutral,Classify the given article as either positive or negative or mix sentiment.
माई तोह सुबह 7 बजे यार,neutral,Classify the given article as either positive or negative or mix sentiment.
"best time is in mba , where you can have coffe with teachers",positive,Classify the given article as either positive or negative or mix sentiment.
we are here @ someUSER for our 12th anniversary celebration . you still have time to make it - 6620 s . king dr,positive,Classify the given article as either positive or negative or mix sentiment.
साला हमारे school me हिन्दी me बात करने पे 10 rs fine lete the . . . .,negative,Classify the given article as either positive or negative or mix sentiment.
@ someUSER show at iu was live ! chicago tomorrow @ reggie's with @ सोम्यूज़र & amp ; boldy blocks !,neutral,Classify the given article as either positive or negative or mix sentiment.
burger & amp ; blonde friday today @ someUSER crows nest $2 . 00 pure blonde with any burger purchase !,neutral,Classify the given article as either positive or negative or mix sentiment.
सुपर से उपररर ( ई ) मिसिंग होम,positive,Classify the given article as either positive or negative or mix sentiment.
@ someUSER aston villa are a joke mate and so is your profile pic u may wanna hit the gym b4 u head to the bridge w your bitch slaps # jogon,negative,Classify the given article as either positive or negative or mix sentiment.
को canteen से $ ही समन लेना h,neutral,Classify the given article as either positive or negative or mix sentiment.
"सर ई लव उ . मैं आपका भोट बड़ा फान हुन , सर . आप जो त-शर्त पेहन्ते हो मुझे देदो सर . मैं हरयाणा से हुन सर जी . मी नो . Sir 9991865726",positive,Classify the given article as either positive or negative or mix sentiment.
बैथ गए हम,neutral,Classify the given article as either positive or negative or mix sentiment.
रूला दिया yaar . . . लव उ yaar : -),positive,Classify the given article as either positive or negative or mix sentiment.
क्या ह मामा ये गील्ली geelli किस्सी मैट किया क्र ओ . ओ r ap तो बिलकुल नी ... gf ह मेरी ;),neutral,Classify the given article as either positive or negative or mix sentiment.
Confessor ये पड़के आँखो से अंसू ही आगये . तेरी कसम आगर ह्यूम ब एसे फुचे माइली तो चुन चुन के ragging lenge ( nothing too extreme ) . - D,neutral,Classify the given article as either positive or negative or mix sentiment.
we use to b rich d day we used to get 20rs . . 20rs में to cosco की बॉल आ जाति थी . .,positive,Classify the given article as either positive or negative or mix sentiment.
abp news वाले हिम्मत है तो kumar vishwas क इंटरविय par बहास कैरी,negative,Classify the given article as either positive or negative or mix sentiment.
admin post remove कर डे वार्ना पिचवारे पे लाट मर क बाहर मिकलुन गा,negative,Classify the given article as either positive or negative or mix sentiment.
कौन सा यार,neutral,Classify the given article as either positive or negative or mix sentiment.
बंदूक वाला होता था maximum,neutral,Classify the given article as either positive or negative or mix sentiment.
ऐसे कौन बात करता है बे ? मेरी दुल्हन लोल,negative,Classify the given article as either positive or negative or mix sentiment.
यार हमारे school k teachers ने कभी हमारे आनसु नही देखे . . पिताई हो जाति थी हर बार . . . :(,negative,Classify the given article as either positive or negative or mix sentiment.
good,negative,Classify the given article as either positive or negative or mix sentiment.
जो ब हो पर मैं आप से भूउउत प्यार कार्टी हो सलमान,positive,Classify the given article as either positive or negative or mix sentiment.
बेटे को बाप के सामने उछल ना नही चाहिये ... वार्ना kohli और raina जीसा ठेंगा पड़ेगा # indvspak,negative,Classify the given article as either positive or negative or mix sentiment.
valentine's day by linkin park may not be the newest song but it's one of the best,positive,Classify the given article as either positive or negative or mix sentiment.
"8lez , अप fix tym बता दिजिये sir की कब आरे हो . अप fb प",neutral,Classify the given article as either positive or negative or mix sentiment.
"oh ho . hema malini भी आई है . अछा , आज ज्यादा tvs पे आएगी ना ! : d @ adityatodi510 # railbudget2015",neutral,Classify the given article as either positive or negative or mix sentiment.
